-	Bergroth	-	proper	5	-	-	-	-	-
-	Bergstrand	-	proper	5	-	-	-	-	-
-	Bergström	-	proper	5	-	-	-	-	-
-	Berkeley	-	proper	21	-	-	i|y	-	-
-	Berlusconi	-	proper	5	-	-	-	-	-
-	Bernard	-	proper	5	-	-	-	-	-
-	Berndtson	-	proper	6	-	-	-	-	-
-	Berner	-	proper	6	-	-	-	-	-
-	Bernhard	-	proper	5	-	-	-	-	-
-	Bernoulli	-	proper	5	-	-	-	-	-
-	Bernstein	-	proper	5	-	-	-	-	-
-	Berntsen	-	proper	5	-	-	-	-	-
-	Berry	-	proper	1	-	-	-	-	-
-	Bertelsmann	-	proper	5	-	-	-	-	-
-	Berthelot	-	proper	22|†5	-	-	-	-	-
-	Berthier	-	proper	22|†5	-	-	-	-	-
-	Berti	-	proper	5	-	-	-	-	-
-	Bertini	-	proper	5	-	-	-	-	-
-	Bertrand	-	proper	5	-	-	-	-	-
-	Berzsenyi	-	proper	18	-	-	-	-	-
-	Beskow	-	proper	5	-	-	-	-	-
-	Besson	-	proper	6	-	-	-	-	-
-	Bezos	-	proper	5|†39	-	-	-	-	-
-	Bianchi	-	proper	5	-	-	-	-	-
-	Biaudet	-	proper	22|†5	-	-	-	-	-
-	Biden	-	proper	6	-	front|back	-	-	-
-	Bidstrup	-	proper	5	-	-	-	-	-
-	Bieber	-	proper	6	-	-	-	-	-
-	Biedermann	-	proper	5	-	-	-	-	-
-	Biese	-	proper	8	-	-	-	-	-
-	Bigot	-	proper	22|†5	-	-	-	-	-
-	Birdal	-	proper	5	-	-	-	-	-
-	Birjukov	-	proper	5	-	-	-	-	-
-	Birkeland	-	proper	5	-	-	-	-	-
-	Birn	-	proper	5	-	-	-	-	-
-	Bishop	-	proper	5	-	-	-	-	-
-	Bjarnason	-	proper	5	-	-	-	-	-
-	Björk	-	proper	5	-	-	-	-	-
-	Björkenheim	-	proper	5	-	-	-	-	-
-	Björklund	-	proper	5	-	-	-	-	-
-	Björkman	-	proper	5	-	-	-	-	-
