-	grandioottisuus	-	noun	40	-	-	-	-	-
-	gratifikaatio	-	noun	3	-	-	-	-	-
-	grekomaani	-	noun	5	-	-	-	-	-
-	gresisti	-	noun	5	-	-	-	-	-
-	gustaatio	-	noun	3	-	-	-	-	-
-	gyraatio	-	noun	3	-	-	-	-	-
-	habitaatio	-	noun	3	-	-	-	-	-
-	hadefobia	-	noun	12	-	-	-	-	-
-	hallusinoosi	-	noun	5	-	-	-	-	-
-	hambergiitti	-	noun	5	tt:t	-	-	-	-
-	haplofaasi	-	noun	5	-	-	-	-	-
-	haplologia	-	noun	12	-	-	-	-	-
-	haptometri	-	noun	5	-	-	-	-	-
-	harmonisaatio	-	noun	3	-	-	-	-	-
-	harvalyöntisyys	-	noun	40	-	-	-	-	-
-	haukattava	-	adjective	10	-	-	-	-	-
-	hebraismi	-	noun	5	-	-	-	-	-
-	hebraisti	-	noun	5	-	-	-	-	-
-	heliolatria	-	noun	12	-	-	-	-	-
-	helioskooppi	-	noun	5	pp:p	-	-	-	-
-	heliotaksia	-	noun	12	-	-	-	-	-
-	hemartroosi	-	noun	5	-	-	-	-	-
-	hematogeneesi	-	noun	5	-	front|back	-	-	-
-	hematopoeesi	-	noun	5	-	-	-	-	-
-	hematosyytti	-	noun	5	-	front|back	-	-	-
-	hemerafonia	-	noun	12	-	-	-	-	-
-	hemerofiili	-	noun	5	-	front|back	-	-	-
-	hemerofobi	-	noun	5	-	-	-	-	-
-	hemodiluutio	-	noun	3	-	-	-	-	-
-	hemodynamiikka	-	noun	9	kk:k	-	-	-	-
-	hemofobia	-	noun	12	-	-	-	-	-
-	hemoglobinopatia	-	noun	12	-	-	-	-	-
-	hemokonsentraatio	-	noun	3	-	-	-	-	-
-	hemopatia	-	noun	12	-	-	-	-	-
-	hemostaasi	-	noun	5	-	-	-	-	-
-	hepatopatia	-	noun	12	-	-	-	-	-
-	herbologia	-	noun	12	-	-	-	-	-
-	herediteetti	-	noun	5	tt:t	-	-	-	-
-	herniaatio	-	noun	3	-	-	-	-	-
-	hernioituminen	-	noun	38	-	-	-	-	-
-	heteroforia	-	noun	12	-	-	-	-	-
-	heterolalia	-	noun	12	-	-	-	-	-
-	heteromorfia	-	noun	12	-	-	-	-	-
-	heteromorfismi	-	noun	5	-	-	-	-	-
-	heterosfääri	-	noun	5	-	-	-	-	-
-	hierologia	-	noun	12	-	-	-	-	-
-	hippiatriikka	-	noun	9	kk:k	-	-	-	-
-	hippologia	-	noun	12	-	-	-	-	-
-	hippomaani	-	noun	5	-	-	-	-	-
-	hippomania	-	noun	12	-	-	-	-	-
-	hispanismi	-	noun	5	-	-	-	-	-
-	hispanisti	-	noun	5	-	-	-	-	-
-	hispanologia	-	noun	12	-	-	-	-	-
-	histokompatibiliteetti	-	noun	5	tt:t	-	-	-	-
-	histoplasmoosi	-	noun	5	-	-	-	-	-
-	historiografi	-	noun	5	-	-	-	-	-
-	hodegetiikka	-	noun	9	kk:k	-	-	-	-
-	holofraasi	-	noun	5	-	-	-	-	-
-	homeostaatti	-	noun	5	tt:t	-	-	-	-
-	homogeniteetti	-	noun	5	tt:t	-	-	-	-
-	homosfääri	-	noun	5	-	-	-	-	-
-	honoraari	-	noun	5	-	-	-	-	-
-	hospitalisaatio	-	noun	3	-	-	-	-	-
-	hostiliteetti	-	noun	5	tt:t	-	-	-	-
-	huimapää	-	adjective	18	-	-	-	-	-
-	humiliaatio	-	noun	3	-	-	-	-	-
-	hyaliitti	-	noun	5	tt:t	-	-	-	-
-	hydroksilysiini	-	noun	5	-	-	-	-	-
-	hydroskooppi	-	noun	5	pp:p	-	-	-	-
-	hydrostaatti	-	noun	5	tt:t	-	-	-	-
-	hygieenisuus	-	noun	40	-	-	-	-	-
-	hygrologia	-	noun	12	-	-	-	-	-
-	hypalgia	-	noun	12	-	-	-	-	-
-	hyperandrogenismi	-	noun	5	-	-	-	-	-
-	hyperestesia	-	noun	12	-	-	-	-	-
-	hyperkinesia	-	noun	12	-	-	-	-	-
-	hypnalgia	-	noun	12	-	-	-	-	-
-	hypnologia	-	noun	12	-	-	-	-	-
-	hypoaktiivisuus	-	noun	40	-	-	-	-	-
-	hypokorismi	-	noun	5	-	-	-	-	-
-	hypokriitti	-	noun	5	tt:t	-	-	-	-
-	hypopituitarismi	-	noun	5	-	-	-	-	-
-	hyposensibilointi	-	noun	5	nt:nn	-	-	-	-
-	hypsografia	-	noun	12	-	-	-	-	-
-	hypsometria	-	noun	12	-	-	-	-	-
-	hysterosalpingosonografia	-	noun	12	-	-	-	-	-
-	ideaatio	-	noun	3	-	-	-	-	-
-	idealiteetti	-	noun	5	tt:t	-	-	-	-
-	ideografia	-	noun	12	-	-	-	-	-
-	iktyofagi	-	noun	5	-	-	-	-	-
-	ileostooma	-	noun	10	-	-	-	-	-
-	illitteraatti	-	noun	5	tt:t	-	-	-	-
-	illuminaatio	-	noun	3	-	-	-	-	-
-	illuminaattori	-	noun	6	-	-	-	-	-
-	imaginaatio	-	noun	3	-	-	-	-	-
-	imeltäminen	-	noun	38	-	-	-	-	-
-	imeväisyyskuolleisuus	-	noun	40	-	-	-	-	-
-	immanenssi	-	noun	5	-	-	-	-	-
-	immaterialisaatio	-	noun	3	-	-	-	-	-
-	immaterialismi	-	noun	5	-	-	-	-	-
-	immaterialisti	-	noun	5	-	-	-	-	-
-	immaturiteetti	-	noun	5	tt:t	-	-	-	-
-	immensiteetti	-	noun	5	tt:t	-	-	-	-
-	immobiliteetti	-	noun	5	tt:t	-	-	-	-
-	immoralismi	-	noun	5	-	-	-	-	-
-	immoraliteetti	-	noun	5	tt:t	-	-	-	-
-	immortaalisuus	-	noun	40	-	-	-	-	-
-	immunisoituminen	-	noun	38	-	-	-	-	-
-	immunogeenisuus	-	noun	40	-	-	-	-	-
-	immunostimulantti	-	noun	5	tt:t	-	-	-	-
-	immunosuppressantti	-	noun	5	tt:t	-	-	-	-
-	impersonaatio	-	noun	3	-	-	-	-	-
-	impertinenssi	-	noun	5	-	-	-	-	-
-	improvisaattori	-	noun	6	-	-	-	-	-
-	impudenssi	-	noun	5	-	-	-	-	-
-	inaktivaatio	-	noun	3	-	-	-	-	-
-	inartikulaatio	-	noun	3	-	-	-	-	-
-	indeterministi	-	noun	5	-	-	-	-	-
-	indifferentismi	-	noun	5	-	-	-	-	-
-	indigenaatti	-	noun	5	tt:t	-	-	-	-
-	indignaatio	-	noun	3	-	-	-	-	-
-	indispositio	-	noun	3	-	-	-	-	-
-	individuaalisuus	-	noun	40	-	-	-	-	-
-	individuaalius	-	noun	40	-	-	-	-	-
-	individualiteetti	-	noun	5	tt:t	-	-	-	-
-	indoeurooppalainen	-	noun	38	-	-	-	-	-
-	indogermanistiikka	-	noun	9	kk:k	-	-	-	-
-	indolenssi	-	noun	5	-	-	-	-	-
-	indolentti	-	noun	5	tt:t	-	-	-	-
-	infanteristi	-	noun	5	-	-	-	-	-
-	infektoitunut	-	adjective	47	-	-	-	-	-
-	inferenssi	-	noun	5	-	-	-	-	-
-	inferioriteetti	-	noun	5	tt:t	-	-	-	-
-	infiniteetti	-	noun	5	tt:t	-	-	-	-
-	ingredienssi	-	noun	5	-	-	-	-	-
-	inherenssi	-	noun	5	-	-	-	-	-
-	initiatiivi	-	noun	5	-	-	-	-	-
-	inkisio	-	noun	3	-	-	-	-	-
-	inkoherenssi	-	noun	5	-	-	-	-	-
-	inkompatibiliteetti	-	noun	5	tt:t	-	-	-	-
-	inkonsekvenssi	-	noun	5	-	-	-	-	-
-	inkonsistenssi	-	noun	5	-	-	-	-	-
-	inkoordinaatio	-	noun	3	-	-	-	-	-
-	inkorporaatio	-	noun	3	-	-	-	-	-
-	inkretiini	-	noun	5	-	-	-	-	-
-	inkriminaatio	-	noun	3	-	-	-	-	-
-	insidentalooma	-	noun	10	-	-	-	-	-
-	insinuaatio	-	noun	3	-	-	-	-	-
