-	MR	-	none	-	-	-	-	symbol	-
-	MRT	-	none	-	-	-	-	symbol	-
-	MS	-	none	-	-	-	-	symbol	-
-	MSR	-	none	-	-	-	-	symbol	-
-	MT	-	none	-	-	-	-	symbol	-
-	MTQ	-	none	-	-	-	-	symbol	-
-	MU	-	none	-	-	-	-	symbol	-
-	MUS	-	none	-	-	-	-	symbol	-
-	MV	-	none	-	-	-	-	symbol	-
-	MW	-	none	-	-	-	-	symbol	-
-	MWI	-	none	-	-	-	-	symbol	-
-	MX	-	none	-	-	-	-	symbol	-
-	MY	-	none	-	-	-	-	symbol	-
-	MYS	-	none	-	-	-	-	symbol	-
-	MYT	-	none	-	-	-	-	symbol	-
-	MZ	-	none	-	-	-	-	symbol	-
-	NA	-	none	-	-	-	-	symbol	-
-	NAM	-	none	-	-	-	-	symbol	-
-	NC	-	none	-	-	-	-	symbol	-
-	NCL	-	none	-	-	-	-	symbol	-
-	NE	-	none	-	-	-	-	symbol	-
-	NER	-	none	-	-	-	-	symbol	-
-	NF	-	none	-	-	-	-	symbol	-
-	NFK	-	none	-	-	-	-	symbol	-
-	NG	-	none	-	-	-	-	symbol	-
-	NGA	-	none	-	-	-	-	symbol	-
-	NI	-	none	-	-	-	-	symbol	-
-	NIC	-	none	-	-	-	-	symbol	-
-	NIU	-	none	-	-	-	-	symbol	-
-	NL	-	none	-	-	-	-	symbol	-
-	NLD	-	none	-	-	-	-	symbol	-
-	NO	-	none	-	-	-	-	symbol	-
-	NOR	-	none	-	-	-	-	symbol	-
-	NP	-	none	-	-	-	-	symbol	-
-	NPL	-	none	-	-	-	-	symbol	-
-	NR	-	none	-	-	-	-	symbol	-
-	NRU	-	none	-	-	-	-	symbol	-
-	NU	-	none	-	-	-	-	symbol	-
-	NZ	-	none	-	-	-	-	symbol	-
-	NZL	-	none	-	-	-	-	symbol	-
-	OM	-	none	-	-	-	-	symbol	-
-	OMN	-	none	-	-	-	-	symbol	-
-	PA	-	none	-	-	-	-	symbol	-
-	PAK	-	none	-	-	-	-	symbol	-
-	PAN	-	none	-	-	-	-	symbol	-
-	PCN	-	none	-	-	-	-	symbol	-
-	PE	-	none	-	-	-	-	symbol	-
-	PER	-	none	-	-	-	-	symbol	-
-	PF	-	none	-	-	-	-	symbol	-
-	PG	-	none	-	-	-	-	symbol	-
-	PH	-	none	-	-	-	-	symbol	-
-	PHL	-	none	-	-	-	-	symbol	-
-	PK	-	none	-	-	-	-	symbol	-
-	PL	-	none	-	-	-	-	symbol	-
-	PLW	-	none	-	-	-	-	symbol	-
-	PM	-	none	-	-	-	-	symbol	-
-	PN	-	none	-	-	-	-	symbol	-
-	PNG	-	none	-	-	-	-	symbol	-
-	POL	-	none	-	-	-	-	symbol	-
-	PR	-	none	-	-	-	-	symbol	-
-	PRI	-	none	-	-	-	-	symbol	-
-	PRK	-	none	-	-	-	-	symbol	-
-	PRT	-	none	-	-	-	-	symbol	-
-	PRY	-	none	-	-	-	-	symbol	-
-	PS	-	none	-	-	-	-	symbol	-
-	PSE	-	none	-	-	-	-	symbol	-
-	PT	-	none	-	-	-	-	symbol	-
-	PW	-	none	-	-	-	-	symbol	-
-	PY	-	none	-	-	-	-	symbol	-
-	PYF	-	none	-	-	-	-	symbol	-
-	QA	-	none	-	-	-	-	symbol	-
-	QAT	-	none	-	-	-	-	symbol	-
-	RE	-	none	-	-	-	-	symbol	-
-	REU	-	none	-	-	-	-	symbol	-
-	RO	-	none	-	-	-	-	symbol	-
-	ROU	-	none	-	-	-	-	symbol	-
-	RS	-	none	-	-	-	-	symbol	-
-	RU	-	none	-	-	-	-	symbol	-
-	RUS	-	none	-	-	-	-	symbol	-
-	RW	-	none	-	-	-	-	symbol	-
-	RWA	-	none	-	-	-	-	symbol	-
-	SA	-	none	-	-	-	-	symbol	-
-	SAU	-	none	-	-	-	-	symbol	-
-	SB	-	none	-	-	-	-	symbol	-
-	SC	-	none	-	-	-	-	symbol	-
-	SD	-	none	-	-	-	-	symbol	-
-	SDN	-	none	-	-	-	-	symbol	-
-	SE	-	none	-	-	-	-	symbol	-
-	SEN	-	none	-	-	-	-	symbol	-
-	SG	-	none	-	-	-	-	symbol	-
-	SGP	-	none	-	-	-	-	symbol	-
-	SGS	-	none	-	-	-	-	symbol	-
-	SH	-	none	-	-	-	-	symbol	-
-	SHN	-	none	-	-	-	-	symbol	-
-	SI	-	none	-	-	-	-	symbol	-
-	SJ	-	none	-	-	-	-	symbol	-
-	SJM	-	none	-	-	-	-	symbol	-
-	SK	-	none	-	-	-	-	symbol	-
-	SL	-	none	-	-	-	-	symbol	-
-	SLB	-	none	-	-	-	-	symbol	-
-	SLE	-	none	-	-	-	-	symbol	-
-	SLV	-	none	-	-	-	-	symbol	-
-	SM	-	none	-	-	-	-	symbol	-
-	SMR	-	none	-	-	-	-	symbol	-
-	SN	-	none	-	-	-	-	symbol	-
-	SO	-	none	-	-	-	-	symbol	-
-	SOM	-	none	-	-	-	-	symbol	-
-	SPM	-	none	-	-	-	-	symbol	-
-	SR	-	none	-	-	-	-	symbol	-
-	SRB	-	none	-	-	-	-	symbol	-
-	SS	-	none	-	-	-	-	symbol	-
-	SSD	-	none	-	-	-	-	symbol	-
-	ST	-	none	-	-	-	-	symbol	-
-	STP	-	none	-	-	-	-	symbol	-
-	SUR	-	none	-	-	-	-	symbol	-
-	SV	-	none	-	-	-	-	symbol	-
-	SVK	-	none	-	-	-	-	symbol	-
-	SVN	-	none	-	-	-	-	symbol	-
-	SWE	-	none	-	-	-	-	symbol	-
-	SWZ	-	none	-	-	-	-	symbol	-
-	SX	-	none	-	-	-	-	symbol	-
-	SXM	-	none	-	-	-	-	symbol	-
-	SY	-	none	-	-	-	-	symbol	-
-	SYC	-	none	-	-	-	-	symbol	-
-	SYR	-	none	-	-	-	-	symbol	-
-	SZ	-	none	-	-	-	-	symbol	-
-	TC	-	none	-	-	-	-	symbol	-
-	TCA	-	none	-	-	-	-	symbol	-
